,rsi_contract_cost_corr,roc_contract_cost_corr,rsi_underlying_value_corr,roc_underlying_value_corr,winloss,position_id
0,,,0.8799684208224371,0.9515634745879156,L,SBUX-CDBFC1D-2024-03-19T14-06
1,0.8121772988628977,0.8528192161403019,0.3011008404570881,0.43310391824136435,L,IWM-CDBFC1D-2024-03-18T14-06
2,,,0.9086719421426582,0.957752316916703,L,SBUX-CDBFC1D-2024-03-18T18-06
3,,,0.32539168040927646,0.37027354706777565,W,C-CDBFC1D-2024-03-18T18-06
4,,,0.18268778154060364,0.3951109132103266,L,BAC-CDBFC1D-2024-03-19T14-06
5,0.7341316431237039,0.8486432862908821,0.18268778154060364,0.3951109132103266,L,BAC-CDBFC1D-2024-03-19T16-06
6,0.5048620054834444,0.6820538054505902,0.18268778154060364,0.3951109132103266,L,BAC-CDBFC1D-2024-03-19T18-06
7,0.2649275201002319,0.09673959498568378,0.26522154595672803,0.4243111423481927,W,C-CDBFC1D-2024-03-18T16-06
8,0.28449709286453134,0.3252244241894441,0.48939782856475533,0.584820583261905,L,SNOW-CDBFC1D-2024-03-18T17-07
9,,,0.14965304620605646,0.06334199667080397,L,XOM-CDBFC1D-2024-03-19T14-06
10,0.049722124444882505,0.15323019112927103,0.15857303109588752,0.21600359654713952,L,C-CDBFC1D-2024-03-19T16-06
11,0.2954581035381389,0.5417112837072947,-0.16207838129313584,0.06121061265514909,L,UBER-CDBFC1D-2024-03-18T14-06
12,,,0.7240322225712987,0.6854358899773301,L,PYPL-CDBFC1D-2024-03-18T19-06
13,,,0.9186260570225682,0.8716966868276065,W,TSLA-CDBFC1D-2024-03-19T19-05
14,0.8670479354387848,0.8207157843207691,0.26522154595672803,0.4243111423481927,W,C-CDBFC1D-2024-03-18T14-06
15,,,0.8748836082535947,0.9440306059687134,L,SBUX-CDBFC1D-2024-03-18T17-07
16,0.6557535686016044,0.7625668184127006,0.3011008404570881,0.43310391824136435,L,IWM-CDBFC1D-2024-03-18T18-06
17,0.8000808745937285,0.8475882749266762,0.16040573511342165,0.3627673668551407,L,IWM-CDBFC1D-2024-03-19T16-06
18,0.15266942040159348,0.4606592208350586,-0.16207838129313584,0.06121061265514909,L,UBER-CDBFC1D-2024-03-18T15-05
19,0.5263024834665679,0.6402138654021681,0.18268778154060364,0.3951109132103266,L,BAC-CDBFC1D-2024-03-19T14-06
20,,,0.2922722968097057,0.5189550968543232,L,BAC-CDBFC1D-2024-03-19T17-06
21,0.763621118952431,0.7926207294102394,0.4750903198283803,0.5662033388962125,W,PLTR-CDBFC1D-2024-03-19T15-06
22,0.6208359541144104,0.7437015867629257,0.16040573511342165,0.3627673668551407,L,IWM-CDBFC1D-2024-03-19T17-06
23,,,0.3022442005017545,0.019300930364972872,L,CVX-CDBFC1D-2024-03-19T18-06
24,,,0.2922722968097057,0.5189550968543232,L,BAC-CDBFC1D-2024-03-19T19-05
25,0.8121772988628977,0.8528192161403019,0.3011008404570881,0.43310391824136435,L,IWM-CDBFC1D-2024-03-18T17-07
26,0.28449709286453134,0.3252244241894441,0.48939782856475533,0.584820583261905,L,SNOW-CDBFC1D-2024-03-18T16-06
27,0.2954581035381389,0.5417112837072947,-0.16207838129313584,0.06121061265514909,L,UBER-CDBFC1D-2024-03-18T19-06
28,0.15266942040159348,0.4606592208350586,-0.16207838129313584,0.06121061265514909,L,UBER-CDBFC1D-2024-03-18T18-06
29,0.8226092596086981,0.900410962570272,0.16040573511342165,0.3627673668551407,W,IWM-CDBFC1D-2024-03-19T15-06
30,,,0.6402775473221007,0.8076274249264921,L,AAPL-CDBFC1D-2024-03-18T17-07
31,,,0.4750903198283803,0.5662033388962125,L,PLTR-CDBFC1D-2024-03-19T17-06
32,,,0.6945551871111033,0.6611102275554607,L,PYPL-CDBFC1D-2024-03-18T16-06
33,0.2141605963890305,0.3967299364090252,-0.16207838129313584,0.06121061265514909,L,UBER-CDBFC1D-2024-03-18T19-06
34,-0.051837972781747635,0.20491611446470603,-0.16207838129313584,0.06121061265514909,W,UBER-CDBFC1D-2024-03-18T16-06
35,,,0.6945551871111033,0.6611102275554607,L,PYPL-CDBFC1D-2024-03-18T18-06
36,,,-0.2479426799108812,-0.39437343932813385,L,CVX-CDBFC1D-2024-03-19T14-06
37,,,-0.20362045226970676,0.06121061265514909,L,UBER-CDBFC1D-2024-03-18T18-06
38,0.20395276382650895,0.3803599654147691,0.30936343398995514,0.48436297609238244,W,C-CDBFC1D-2024-03-18T19-06
39,,,0.8748836082535947,0.9440306059687134,L,SBUX-CDBFC1D-2024-03-18T18-06
40,,,0.18268778154060364,0.3951109132103266,L,BAC-CDBFC1D-2024-03-19T15-06
41,,,0.6365238741996717,0.7114286085537364,L,QCOM-CDBFC1D-2024-03-19T15-06
42,0.2954581035381389,0.5417112837072947,-0.16207838129313584,0.06121061265514909,L,UBER-CDBFC1D-2024-03-18T15-05
43,0.6557535686016044,0.7625668184127006,0.3011008404570881,0.43310391824136435,L,IWM-CDBFC1D-2024-03-18T15-05
44,0.30669555800337145,0.4482947787449527,0.30936343398995514,0.48436297609238244,W,C-CDBFC1D-2024-03-18T14-06
45,0.5263024834665679,0.6402138654021681,0.18268778154060364,0.3951109132103266,L,BAC-CDBFC1D-2024-03-19T15-06
46,-0.051837972781747635,0.20491611446470603,-0.16207838129313584,0.06121061265514909,L,UBER-CDBFC1D-2024-03-18T17-07
47,0.3031334568121905,0.5145933133371741,-0.3205219244594417,-0.1864246791134992,W,UBER-CDBFC1D-2024-03-19T17-06
48,0.30669555800337145,0.4482947787449527,0.30936343398995514,0.48436297609238244,W,C-CDBFC1D-2024-03-18T16-06
49,,,0.11284294021074599,0.10926912090940358,W,DIS-CDBFC1D-2024-03-19T14-06
50,,,0.4750903198283803,0.5662033388962125,W,PLTR-CDBFC1D-2024-03-19T15-06
51,,,0.9186260570225682,0.8716966868276065,W,TSLA-CDBFC1D-2024-03-19T18-06
52,0.28449709286453134,0.3252244241894441,0.48939782856475533,0.584820583261905,L,SNOW-CDBFC1D-2024-03-18T18-06
53,,,0.32539168040927646,0.37027354706777565,L,C-CDBFC1D-2024-03-19T17-06
54,0.28449709286453134,0.3252244241894441,0.48939782856475533,0.584820583261905,L,SNOW-CDBFC1D-2024-03-18T19-06
55,0.7566807828274531,0.9019747052517298,0.8160714138070463,0.7565924725780707,W,ABNB-CDBFC1D-2024-03-18T17-07
56,,,0.9148112350993891,0.9673268275828295,L,SBUX-CDBFC1D-2024-03-19T14-06
57,0.7341316431237039,0.8486432862908821,0.18268778154060364,0.3951109132103266,L,BAC-CDBFC1D-2024-03-19T16-06
58,0.724870274146181,0.7736564949794787,0.6847650508170575,0.7171412059090629,L,QCOM-CDBFC1D-2024-03-19T15-06
59,0.7823815057960779,0.6820560215978926,0.15857303109588752,0.21600359654713952,L,C-CDBFC1D-2024-03-19T17-06
60,0.8121772988628977,0.8528192161403019,0.3011008404570881,0.43310391824136435,L,IWM-CDBFC1D-2024-03-18T16-06
61,,,-0.17346100757667274,-0.16760644967870675,L,XOM-CDBFC1D-2024-03-19T14-06
62,0.5263024834665679,0.6402138654021681,0.18268778154060364,0.3951109132103266,L,BAC-CDBFC1D-2024-03-19T19-05
63,,,0.6402775473221007,0.8076274249264921,L,AAPL-CDBFC1D-2024-03-18T17-07
64,,,0.8665929076253591,0.8006427367119943,W,ABNB-CDBFC1D-2024-03-18T18-06
65,0.5263024834665679,0.6402138654021681,0.18268778154060364,0.3951109132103266,L,BAC-CDBFC1D-2024-03-19T17-06
66,,,-0.2479426799108812,-0.39437343932813385,L,CVX-CDBFC1D-2024-03-19T18-06
67,,,0.11115469354751857,0.10743487266824515,W,DIS-CDBFC1D-2024-03-19T16-06
